NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;UNIT;REF_YEAR;AGRICULTURE;C_P_SERVICES;INDUSTRY;RESIDENTIAL;TRANSPORT
AT1;AT13;AT130;90001;0;1988;GWh;2024;24,72;1843,87;1051,11;1973,33;432,22
AT1;AT13;AT130;90001;0;1989;GWh;2024;25,56;1916,74;1067,78;2006,11;466,67
AT1;AT13;AT130;90001;0;1990;GWh;2024;25,28;2009,39;1117,78;2085,56;466,67
AT1;AT13;AT130;90001;0;1991;GWh;2024;25,83;2128,45;1153,89;2199,17;545,00
AT1;AT13;AT130;90001;0;1992;GWh;2024;28,61;2235,12;1134,17;2168,89;567,78
AT1;AT13;AT130;90001;0;1993;GWh;2024;29,17;2382,75;1108,06;2265,00;567,22
AT1;AT13;AT130;90001;0;1994;GWh;2024;29,72;2430,36;1189,72;2225,83;565,56
AT1;AT13;AT130;90001;0;1995;GWh;2024;32,78;2483,34;1245,83;2323,33;558,89
AT1;AT13;AT130;90001;0;1996;GWh;2024;34,17;2652,49;1094,17;2502,22;573,89
AT1;AT13;AT130;90001;0;1997;GWh;2024;33,06;2726,24;1117,78;2367,22;573,89
AT1;AT13;AT130;90001;0;1998;GWh;2024;33,33;2763,10;1144,44;2350,83;581,39
AT1;AT13;AT130;90001;0;1999;GWh;2024;25,34;3112,43;972,83;2330,43;585,93
AT1;AT13;AT130;90001;0;2000;GWh;2024;24,55;3143,44;970,97;2433,37;604,67
AT1;AT13;AT130;90001;0;2001;GWh;2024;24,54;3121,04;946,27;2627,32;603,73
AT1;AT13;AT130;90001;0;2002;GWh;2024;25,53;3260,06;882,66;2695,41;590,42
AT1;AT13;AT130;90001;0;2003;GWh;2024;25,56;3495,55;976,89;2645,49;537,23
AT1;AT13;AT130;90001;0;2004;GWh;2024;25,52;3428,23;1089,50;2737,20;546,31
AT1;AT13;AT130;90001;0;2005;GWh;2024;26,98;3282,13;1148,75;2830,20;668,19
AT1;AT13;AT130;90001;0;2006;GWh;2024;28,44;3240,84;1151,62;2979,76;689,39
AT1;AT13;AT130;90001;0;2007;GWh;2024;29,90;3328,63;1126,55;2915,16;689,34
AT1;AT13;AT130;90001;0;2008;GWh;2024;31,36;3547,91;1096,86;2875,05;685,18
AT1;AT13;AT130;90001;0;2009;GWh;2024;32,82;3583,77;1028,85;2934,26;654,89
AT1;AT13;AT130;90001;0;2010;GWh;2024;33,63;3596,65;1085,17;3002,66;615,58
AT1;AT13;AT130;90001;0;2011;GWh;2024;32,90;3504,58;1093,70;2971,96;603,96
AT1;AT13;AT130;90001;0;2012;GWh;2024;33,22;3621,86;1050,74;2997,92;598,84
AT1;AT13;AT130;90001;0;2013;GWh;2024;33,11;3688,99;917,21;3008,96;602,17
AT1;AT13;AT130;90001;0;2014;GWh;2024;31,97;3751,77;827,66;2933,58;591,89
AT1;AT13;AT130;90001;0;2015;GWh;2024;32,62;3927,33;761,45;2901,18;614,88
AT1;AT13;AT130;90001;0;2016;GWh;2024;32,92;3944,33;762,95;2950,75;630,34
AT1;AT13;AT130;90001;0;2017;GWh;2024;33,79;3799,44;776,65;3041,43;642,90
AT1;AT13;AT130;90001;0;2018;GWh;2024;33,62;3918,70;770,81;3004,40;646,70
AT1;AT13;AT130;90001;0;2019;GWh;2024;33,45;4073,04;744,63;2967,37;651,26
AT1;AT13;AT130;90001;0;2020;GWh;2024;37,20;3484,11;687,37;3154,67;633,34
AT1;AT13;AT130;90001;0;2021;GWh;2024;37,33;3306,27;710,77;3337,61;672,40
AT1;AT13;AT130;90001;0;2022;GWh;2024;36,45;3083,09;753,96;3330,81;778,33
AT1;AT13;AT130;90001;0;2023;GWh;2024;41,13;3055,38;705,46;3423,44;639,70
AT1;AT13;AT130;90001;0;2024;GWh;2024;40,26;2898,76;708,21;3454,35;694,92
