NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;UNIT;REF_YEAR;AMBIENT_HEAT;BIO_FUELS;COAL;DISTRICT_HEAT;ELECTRICITY;FUELWOOD;GAS;HYDROPOWER;OIL;WASTE;WIND_AND_PHOTOVOLTAIC
AT1;AT13;AT130;90001;0;1988;GWh;2024;9,30;82,76;849,17;2934,70;5325,26;275,83;7914,45;0,00;10072,29;120,00;0,00
AT1;AT13;AT130;90001;0;1989;GWh;2024;10,00;83,52;685,00;3097,65;5482,85;265,56;8060,11;0,00;10033,00;89,72;0,00
AT1;AT13;AT130;90001;0;1990;GWh;2024;10,94;84,67;658,06;3333,41;5704,67;249,17;7404,14;0,00;10436,74;68,06;0,00
AT1;AT13;AT130;90001;0;1991;GWh;2024;12,24;86,56;675,00;3953,26;6052,34;281,67;8394,73;0,00;11601,44;64,72;0,00
AT1;AT13;AT130;90001;0;1992;GWh;2024;13,59;86,95;486,67;3745,10;6134,56;248,06;8330,05;0,00;11349,69;45,56;0,00
AT1;AT13;AT130;90001;0;1993;GWh;2024;15,17;89,83;405,28;4169,66;6352,19;278,33;8714,10;0,00;11616,51;21,94;0,00
AT1;AT13;AT130;90001;0;1994;GWh;2024;16,93;89,48;374,17;4040,74;6441,20;285,83;9330,98;0,00;11405,25;33,06;0,00
AT1;AT13;AT130;90001;0;1995;GWh;2024;18,86;91,83;299,72;4584,61;6644,17;332,22;8636,53;0,00;11614,88;33,06;0,00
AT1;AT13;AT130;90001;0;1996;GWh;2024;20,80;92,14;294,44;5254,08;6856,93;390,83;8121,59;0,00;13061,97;36,39;0,00
AT1;AT13;AT130;90001;0;1997;GWh;2024;22,72;99,59;234,44;5073,59;6818,18;391,94;8709,33;0,00;12737,60;39,44;0,00
AT1;AT13;AT130;90001;0;1998;GWh;2024;24,81;99,42;196,11;5265,03;6873,10;336,11;8104,38;0,00;13503,42;39,44;0,00
AT1;AT13;AT130;90001;0;1999;GWh;2024;25,93;129,39;175,75;4951,68;7026,95;347,92;8431,78;0,00;13292,83;37,86;0,00
AT1;AT13;AT130;90001;0;2000;GWh;2024;27,23;129,64;181,37;4702,68;7177,00;312,22;7789,35;0,00;13128,26;34,08;0,00
AT1;AT13;AT130;90001;0;2001;GWh;2024;27,65;146,43;192,88;5034,22;7322,89;325,69;8373,98;0,00;14297,06;38,61;0,00
AT1;AT13;AT130;90001;0;2002;GWh;2024;28,33;151,17;173,00;4966,07;7454,07;300,94;8056,49;0,00;15617,29;37,55;0,00
AT1;AT13;AT130;90001;0;2003;GWh;2024;31,48;191,89;194,81;5245,16;7680,72;291,04;8998,96;0,00;16292,30;39,43;0,00
AT1;AT13;AT130;90001;0;2004;GWh;2024;33,38;282,40;168,42;5391,69;7826,75;295,30;8858,94;0,00;16322,45;31,90;0,00
AT1;AT13;AT130;90001;0;2005;GWh;2024;34,44;287,22;95,95;5455,90;7956,25;330,59;8750,75;0,00;16442,49;65,88;0,00
AT1;AT13;AT130;90001;0;2006;GWh;2024;37,82;703,47;79,05;5487,31;8090,06;303,27;8430,78;0,00;15611,55;44,68;0,00
AT1;AT13;AT130;90001;0;2007;GWh;2024;66,40;943,12;35,72;5218,94;8089,59;276,88;7689,37;0,00;15128,47;22,41;0,00
AT1;AT13;AT130;90001;0;2008;GWh;2024;80,70;1108,81;26,36;5410,52;8236,36;267,28;7790,32;0,00;14446,67;4,50;0,00
AT1;AT13;AT130;90001;0;2009;GWh;2024;65,69;1290,56;20,00;5998,22;8234,60;211,56;8070,16;0,00;13673,30;5,73;0,00
AT1;AT13;AT130;90001;0;2010;GWh;2024;76,01;1331,79;22,84;6371,82;8333,68;234,38;8858,08;0,00;13770,28;7,13;0,00
AT1;AT13;AT130;90001;0;2011;GWh;2024;100,91;1296,78;42,97;6000,74;8207,10;288,05;8011,29;0,00;13054,75;5,77;0,00
AT1;AT13;AT130;90001;0;2012;GWh;2024;115,18;1180,52;36,15;6224,67;8302,58;288,53;7988,24;0,00;12744,44;1,90;0,00
AT1;AT13;AT130;90001;0;2013;GWh;2024;121,92;1104,60;15,00;6401,05;8250,44;321,20;8211,45;0,00;13203,37;0,21;0,00
AT1;AT13;AT130;90001;0;2014;GWh;2024;149,34;1184,57;11,25;5838,49;8136,87;282,76;7060,63;0,00;12779,20;0,17;0,00
AT1;AT13;AT130;90001;0;2015;GWh;2024;149,70;1312,42;2,29;5954,09;8237,46;238,46;7481,65;0,00;13214,29;0,28;0,00
AT1;AT13;AT130;90001;0;2016;GWh;2024;148,93;1117,73;2,58;6246,08;8321,29;252,05;7819,22;0,00;13636,14;0,24;0,00
AT1;AT13;AT130;90001;0;2017;GWh;2024;137,82;1057,62;3,21;6401,23;8294,21;206,30;7993,68;0,00;13846,40;0,52;0,00
AT1;AT13;AT130;90001;0;2018;GWh;2024;155,17;1093,46;2,84;6116,46;8374,23;193,30;7547,27;0,00;13750,86;0,36;0,00
AT1;AT13;AT130;90001;0;2019;GWh;2024;150,15;1018,40;3,39;6007,48;8469,75;172,79;7403,63;0,00;13635,23;0,39;0,00
AT1;AT13;AT130;90001;0;2020;GWh;2024;159,87;904,15;3,01;6136,94;7996,69;181,50;7459,87;0,00;12029,08;0,37;0,00
AT1;AT13;AT130;90001;0;2021;GWh;2024;195,97;946,71;1,43;6641,76;8064,38;249,14;7952,92;0,00;12290,05;0,03;0,00
AT1;AT13;AT130;90001;0;2022;GWh;2024;138,71;852,57;1,20;5882,92;7982,64;279,32;6889,83;0,00;11489,60;0,03;0,00
AT1;AT13;AT130;90001;0;2023;GWh;2024;169,70;962,94;1,02;5539,37;7865,11;433,01;6259,60;0,00;10688,98;0,00;0,00
AT1;AT13;AT130;90001;0;2024;GWh;2024;181,25;1035,88;0,69;5605,81;7796,50;423,17;6188,63;0,00;10445,64;0,12;0,00
